load,solar,px_buy,px_sell
0.07,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.06,0.0776599999999999,0.4,0.05
0.06,0.2455,0.4,0.05
0.36,0.46212,0.4,0.05
0.18,0.23029,0.4,0.05
0.07,0.4356,0.4,0.05
0.07,0.43483,0.4,0.05
0.04,0.5076700000000001,0.4,0.05
0.07,0.55453,0.4,0.05
0.07,0.393,0.4,0.05
0.14,0.2180699999999999,0.4,0.08
0.28,0.06702,0.52,0.08
0.18,0.0,0.52,0.08
0.2,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.11,0.0,0.4,0.05
0.07,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.1791299999999999,0.4,0.05
0.03,0.45758,0.4,0.05
0.03,0.6810900000000001,0.4,0.05
0.06,0.83974,0.4,0.05
0.03,0.92529,0.4,0.05
0.06,0.9423,0.4,0.05
0.03,0.8932,0.4,0.05
0.03,0.77637,0.4,0.05
0.06,0.5939099999999999,0.4,0.05
0.03,0.34882,0.4,0.08
0.06,0.09082,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.1708,0.4,0.05
0.03,0.4351,0.4,0.05
0.05,0.64176,0.4,0.05
0.04,0.78599,0.4,0.05
0.03,0.86813,0.4,0.05
0.03,0.88942,0.4,0.05
0.06,0.85773,0.4,0.05
0.03,0.7567699999999999,0.4,0.05
0.06,0.59072,0.4,0.05
0.03,0.3506,0.4,0.08
0.04,0.09258,0.52,0.08
0.05,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.03,0.0,0.52,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.04,0.0,0.4,0.05
0.05,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.03,0.12619,0.4,0.05
0.06,0.33175,0.4,0.05
0.03,0.58788,0.4,0.05
0.03,0.77407,0.4,0.05
0.06,0.84545,0.4,0.05
0.03,0.8691,0.4,0.05
0.03,0.8355,0.4,0.05
0.06,0.7380399999999999,0.4,0.05
0.03,0.5358999999999999,0.4,0.05
0.06,0.28878,0.4,0.08
0.03,0.074,0.52,0.08
0.06,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.04,0.0,0.4,0.05
0.05,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.0,0.4,0.05
0.03,0.0,0.4,0.05
0.06,0.09425,0.4,0.05
0.03,0.21735,0.4,0.05
0.06,0.41724,0.4,0.05
0.03,0.4752699999999999,0.4,0.05
0.03,0.6550900000000001,0.4,0.05
0.06,0.69899,0.4,0.05
0.03,0.7394400000000001,0.4,0.05
0.06,0.64189,0.4,0.05
0.05,0.5252,0.4,0.05
0.04,0.27802,0.4,0.08
0.06,0.0727199999999999,0.52,0.08
0.03,0.0,0.52,0.08
0.06,0.0,0.52,0.08
0.04,0.0,0.52,0.08
0.05,0.0,0.52,0.08
0.09,0.0,0.52,0.05
